IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP461;IC_GROUP0;IC_GROUP1;IC_GROUP2
22420;Колистин 2 млн., 1 л.;22420;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Свиньям, цыплятам-бройлерам и ремонтному молодняку кур с лечебнопрофилактической целью при желудочно-кишечных заболеваниях бактериальной этиологии, в т. ч. сальмонеллезе, дизентерии, колибактериозе и других инфекциях, возбудители которых чувствительны к колистину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Колистин 2 млн. применяют животным перорально индивидуально или групповым способом с водой для поения в течение 3-5 дней в следующих дозах:<br>
 <br>
 • поросятам - 0,25 мл препарата на 10 кг массы животного (50 000 ME колистина на 1 кг массы животного) 2 раза в сутки с 12-часовым интервалом или 1 раз в суточной дозе 0,5 мл препарата на 10 кг массы животного (100 000 ME колистина на 1 кг массы животного);<br>
 <br>
 • сельскохозяйственной птице - 0,37 мл препарата на 10 кг массы птицы (75 000 ME колистина на 1 кг массы птицы) или 0,25 мл на 1 л воды для поения.<br>
 <br>
 При групповом способе применения животные и птица должны получать только воду, содержащую лекарственный препарат.<br>
 <br>
 Лечебный раствор готовят ежедневно в объеме, рассчитанном на потребление в течение суток.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Выпускают препарат расфасованным в полимерные флаконы, бутылки и канистры.<br>";html;kolistin-2-mln-1-l;500;;АВЗ;Антибактериальные препараты;;
22421;Колистин 2 млн., 5 л.;22421;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Свиньям, цыплятам-бройлерам и ремонтному молодняку кур с лечебнопрофилактической целью при желудочно-кишечных заболеваниях бактериальной этиологии, в т. ч. сальмонеллезе, дизентерии, колибактериозе и других инфекциях, возбудители которых чувствительны к колистину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Колистин 2 млн. применяют животным перорально индивидуально или групповым способом с водой для поения в течение 3-5 дней в следующих дозах:<br>
 <br>
 • поросятам - 0,25 мл препарата на 10 кг массы животного (50 000 ME колистина на 1 кг массы животного) 2 раза в сутки с 12-часовым интервалом или 1 раз в суточной дозе 0,5 мл препарата на 10 кг массы животного (100 000 ME колистина на 1 кг массы животного);<br>
 <br>
 • сельскохозяйственной птице - 0,37 мл препарата на 10 кг массы птицы (75 000 ME колистина на 1 кг массы птицы) или 0,25 мл на 1 л воды для поения.<br>
 <br>
 При групповом способе применения животные и птица должны получать только воду, содержащую лекарственный препарат.<br>
 <br>
 Лечебный раствор готовят ежедневно в объеме, рассчитанном на потребление в течение суток.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Выпускают препарат расфасованным в полимерные флаконы, бутылки и канистры.<br>";html;kolistin-2-mln-5-l;500;;АВЗ;Антибактериальные препараты;;
22422;Колифлокс оральный, 5 л.;22422;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 С лечебной и профилактической целью сельскохозяйственной птице при колибактериозе, сальмонеллезе, хронических респираторных заболеваниях, стрептококкозе, некротическом энтерите, гемофилезе, микоплазмозе, смешанных инфекциях и вторичных инфекциях при вирусных болезнях; поросятам - при колибактериозе и энтеритах бактериальной этиологии, возбудители которых чувствительны к энрофлоксацину и колистину.<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Бройлерам, племенной птице, ремонтному молодняку кур и индейкам ""Колифлокс оральный"" применяют путем выпаивания в суточной дозе 0,5 мл на 1 л питьевой воды для поения в течение 3-5 дней; при сальмонеллезе, смешанных инфекциях, а также при хронических формах заболеваний – 1 мл на 1 л воды не менее 5 дней. В период лечения птица должна получать только воду, содержащую лекарственное средство. Поросятам применяют в суточной дозе 0,3 мл/кг массы животного, выпаивая с питьевой водой (в разведении 1:1) один раз в сутки в течение 2-3 дней.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Пластиковый флакон 100 мл, 1 л, канистра 5 л.<br>";html;kolifloks-oralnyy-5-l;500;;АВЗ;Антибактериальные препараты;;
22423;Колифлокс оральный, 1 л.;22423;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 С лечебной и профилактической целью сельскохозяйственной птице при колибактериозе, сальмонеллезе, хронических респираторных заболеваниях, стрептококкозе, некротическом энтерите, гемофилезе, микоплазмозе, смешанных инфекциях и вторичных инфекциях при вирусных болезнях; поросятам - при колибактериозе и энтеритах бактериальной этиологии, возбудители которых чувствительны к энрофлоксацину и колистину.<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Бройлерам, племенной птице, ремонтному молодняку кур и индейкам ""Колифлокс оральный"" применяют путем выпаивания в суточной дозе 0,5 мл на 1 л питьевой воды для поения в течение 3-5 дней; при сальмонеллезе, смешанных инфекциях, а также при хронических формах заболеваний – 1 мл на 1 л воды не менее 5 дней. В период лечения птица должна получать только воду, содержащую лекарственное средство. Поросятам применяют в суточной дозе 0,3 мл/кг массы животного, выпаивая с питьевой водой (в разведении 1:1) один раз в сутки в течение 2-3 дней.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Пластиковый флакон 100 мл, 1 л, канистра 5 л.<br>";html;kolifloks-oralnyy-1-l;500;;АВЗ;Антибактериальные препараты;;
22424;Колифлокс оральный, 100 мл.;22424;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 С лечебной и профилактической целью сельскохозяйственной птице при колибактериозе, сальмонеллезе, хронических респираторных заболеваниях, стрептококкозе, некротическом энтерите, гемофилезе, микоплазмозе, смешанных инфекциях и вторичных инфекциях при вирусных болезнях; поросятам - при колибактериозе и энтеритах бактериальной этиологии, возбудители которых чувствительны к энрофлоксацину и колистину.<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Бройлерам, племенной птице, ремонтному молодняку кур и индейкам ""Колифлокс оральный"" применяют путем выпаивания в суточной дозе 0,5 мл на 1 л питьевой воды для поения в течение 3-5 дней; при сальмонеллезе, смешанных инфекциях, а также при хронических формах заболеваний – 1 мл на 1 л воды не менее 5 дней. В период лечения птица должна получать только воду, содержащую лекарственное средство. Поросятам применяют в суточной дозе 0,3 мл/кг массы животного, выпаивая с питьевой водой (в разведении 1:1) один раз в сутки в течение 2-3 дней.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Пластиковый флакон 100 мл, 1 л, канистра 5 л.<br>";html;kolifloks-oralnyy-100-ml;500;;АВЗ;Антибактериальные препараты;;
22425;Сульф-комплекс, 100 мл.;22425;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Свиньям и сельскохозяйственной птице с лечебно-профилактической целью при пастереллезе, клостридиозе, стафилококкозе, стрептококозе, хламидиозе, микоплазмозе, бордетеллезе, хронических респираторных заболеваниях и других инфекциях, возбудители которых чувствительны к компонентам препарата.<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Применяют с водой для поения в следующих дозах: птице 1–1,5 мл на 1 литр воды ежедневно в течение 3–5 дней; свиньям – 1 мл на 10 кг массы животного ежедневно в течение 3–5 дней.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерные флаконы по 100 мл и полимерные бутылки или канистры по 1000 и 5000 мл.<br>";html;sulf-kompleks-100-ml;500;;АВЗ;Антибактериальные препараты;;
22426;Сульф-комплекс, 1 л.;22426;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Свиньям и сельскохозяйственной птице с лечебно-профилактической целью при пастереллезе, клостридиозе, стафилококкозе, стрептококозе, хламидиозе, микоплазмозе, бордетеллезе, хронических респираторных заболеваниях и других инфекциях, возбудители которых чувствительны к компонентам препарата.<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Применяют с водой для поения в следующих дозах: птице 1–1,5 мл на 1 литр воды ежедневно в течение 3–5 дней; свиньям – 1 мл на 10 кг массы животного ежедневно в течение 3–5 дней.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерные флаконы по 100 мл и полимерные бутылки или канистры по 1000 и 5000 мл.<br>";html;sulf-kompleks-1-l;500;;АВЗ;Антибактериальные препараты;;
22427;Сульф-комплекс, 5 л.;22427;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Свиньям и сельскохозяйственной птице с лечебно-профилактической целью при пастереллезе, клостридиозе, стафилококкозе, стрептококозе, хламидиозе, микоплазмозе, бордетеллезе, хронических респираторных заболеваниях и других инфекциях, возбудители которых чувствительны к компонентам препарата.<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Применяют с водой для поения в следующих дозах: птице 1–1,5 мл на 1 литр воды ежедневно в течение 3–5 дней; свиньям – 1 мл на 10 кг массы животного ежедневно в течение 3–5 дней.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерные флаконы по 100 мл и полимерные бутылки или канистры по 1000 и 5000 мл.<br>";html;sulf-kompleks-5-l;500;;АВЗ;Антибактериальные препараты;;
22428;Тилдокс, 1 кг.;22428;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Тилдокс назначают с лечебной и лечебно-профилактической целью свиньям и сельскохозяйственным птицам при желудочно-кишечных и респираторных заболеваниях бактериальной этиологии, в том числе пастереллезе, микоплазмозе, колибактериозе, бордетеллиозе, сальмонеллезе, дизентерии, энзоотической пневмонии и других инфекциях, возбудители которых чувствительны к доксициклину и тилозину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 • Свиньям в смеси с кормом или водой для поения индивидуально или групповым способом в дозе 1 г на 10-15 кг массы животного или 1 г препарата на 1 л воды ежедневно в течение 3-5 дней;<br>
 <br>
 •&nbsp; сельскохозяйственным птицам с водой для поения или с кормом групповым способом в дозе 0,5 – 1 г на 1 л воды для поения или 0,5 – 1 г препарата на 10 кг массы птицы ежедневно в течение 3-5 дней.<br>
 <br>
 При групповом способе применения птицы и свиньи в период лечения должны получать только воду или корм, содержащие лекарственный препарат. Лечебный раствор или корм готовят ежедневно.<br>
 <br>
 При групповом применении лекарственного препарата с водой для поения расчет количества маточного раствора, при использовании медикатора, проводят следующим образом:<br>
 <br>
 А. Рассчитывают количество лекарственного препарата (Q) в г на 1 сутки лечения по формуле:<br>
 <br>
 Q = N х P х Po х 100/Сm (в %),<br>
 <br>
 где N – количество животных для обработки;<br>
 <br>
 Р – средняя масса животного, кг;<br>
 <br>
 Ро – терапевтическая доза препарата&nbsp; действующего вещества, мг/кг;<br>
 <br>
 Сm – концентрация действующего вещества в препарате в %.<br>
 <br>
 Б. Рассчитывают количество маточного раствора (V) на 1 сутки лечения по формуле:<br>
 <br>
 V = С х R (в %)/100,<br>
 <br>
 где, С – ежедневное потребление воды в л;<br>
 <br>
 R – регулятор дозатора медикатора в %.<br>
 <br>
 Отмеренное количество препарата (Q) растворяют в рассчитанном количестве воды (V) (желательно t=20-30°C) при интенсивном размешивании в течение 5-10 минут. При необходимости можно добавить совместимый растворитель&nbsp; (кислотный или щелочной в зависимости от pH воды) или увеличить количество маточного раствора увеличив дозировку медикатора. Через 30-45 минут после начала приготовления маточный раствор готов к использованию.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Лекарственный препарат выпускают расфасованным по 1 кг в полимерных ведрах соответствующей вместимости с крышками контроля первого вскрытия.<br>";html;tildoks-1-kg;500;;АВЗ;Антибактериальные препараты;;
22429;Тилозин АВЗ, 100 мл.;22429;Y;;;;;text;;"<b>Показания:</b><br>
 <br>
 Свиньям при дизентерии, гастроэнтероколитах бактериальной этиологии и энзоотической пневмонии; сельскохозяйственной птице (бройлеры, ремонтный молодняк, племенная птица, индейки) – при респираторном микоплазмозе, инфекционном синусите, аэросаккулите, колибактериозе, пастереллезе, смешанных инфекциях, вторичных бактериальных инфекциях при вирусных болезнях и других заболеваниях, возбудители которых чувствительны к тилозину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Тилозин АВ применяют перорально с водой для поения в следующих дозах:<br>
 <br>
 • птице 2–3 мл препарата на 1 л воды в течение 3–5 дней (400–600 мг по ДВ на 1 л воды).<br>
 <br>
 • свиньям 1,15 мл препарата на 1 л питьевой воды (25 мг по ДВ на 1 кг массы животного), в течение 3–7 дней.<br>
 <br>
 В период лечения свиньи и сельскохозяйственная птица должны получать только воду, содержащую лекарственный препарат.<br>
 <br>
 Лечебный раствор готовят ежедневно в объеме, рассчитанном на потребление животными и птицей в течение суток.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерный флакон 100 мл, 1 л, канистра 5 л.<br>";html;tilozin-avz-100-ml;500;;АВЗ;Антибактериальные препараты;;
22430;Тилозин АВЗ, 1 л.;22430;Y;;;;;text;;"<b>Показания:</b><br>
 <br>
 Свиньям при дизентерии, гастроэнтероколитах бактериальной этиологии и энзоотической пневмонии; сельскохозяйственной птице (бройлеры, ремонтный молодняк, племенная птица, индейки) – при респираторном микоплазмозе, инфекционном синусите, аэросаккулите, колибактериозе, пастереллезе, смешанных инфекциях, вторичных бактериальных инфекциях при вирусных болезнях и других заболеваниях, возбудители которых чувствительны к тилозину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Тилозин АВ применяют перорально с водой для поения в следующих дозах:<br>
 <br>
 • птице 2–3 мл препарата на 1 л воды в течение 3–5 дней (400–600 мг по ДВ на 1 л воды).<br>
 <br>
 • свиньям 1,15 мл препарата на 1 л питьевой воды (25 мг по ДВ на 1 кг массы животного), в течение 3–7 дней.<br>
 <br>
 В период лечения свиньи и сельскохозяйственная птица должны получать только воду, содержащую лекарственный препарат.<br>
 <br>
 Лечебный раствор готовят ежедневно в объеме, рассчитанном на потребление животными и птицей в течение суток.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерный флакон 100 мл, 1 л, канистра 5 л.<br>";html;tilozin-avz-1-l;500;;АВЗ;Антибактериальные препараты;;
22431;Тилозин АВЗ, 5 л.;22431;Y;;;;;text;;"<b>Показания:</b><br>
 <br>
 Свиньям при дизентерии, гастроэнтероколитах бактериальной этиологии и энзоотической пневмонии; сельскохозяйственной птице (бройлеры, ремонтный молодняк, племенная птица, индейки) – при респираторном микоплазмозе, инфекционном синусите, аэросаккулите, колибактериозе, пастереллезе, смешанных инфекциях, вторичных бактериальных инфекциях при вирусных болезнях и других заболеваниях, возбудители которых чувствительны к тилозину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Тилозин АВ применяют перорально с водой для поения в следующих дозах:<br>
 <br>
 • птице 2–3 мл препарата на 1 л воды в течение 3–5 дней (400–600 мг по ДВ на 1 л воды).<br>
 <br>
 • свиньям 1,15 мл препарата на 1 л питьевой воды (25 мг по ДВ на 1 кг массы животного), в течение 3–7 дней.<br>
 <br>
 В период лечения свиньи и сельскохозяйственная птица должны получать только воду, содержащую лекарственный препарат.<br>
 <br>
 Лечебный раствор готовят ежедневно в объеме, рассчитанном на потребление животными и птицей в течение суток.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерный флакон 100 мл, 1 л, канистра 5 л.<br>";html;tilozin-avz-5-l;500;;АВЗ;Антибактериальные препараты;;
